Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
153,BLUEROCK ESERVICES PVT LTD,Germany,VRB GMBH & Co.,NEW DELHI,Wholesale of umbrella and clothing accessories,177.21,2.78,
154,FEIN POWER TOOLS INDIA PRIVATE LIMITED,Germany,Fein Verwaltung GmbH,CHENNAI,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",0.00,0.00,
155,FEIN POWER TOOLS INDIA PRIVATE LIMITED,Germany,C & E Fein GmbH,CHENNAI,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",7.71,0.12,
156,FEIN POWER TOOLS INDIA PRIVATE LIMITED,Germany,C & E Fein GmbH,CHENNAI,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",7.98,0.12,
157,BEROA UNISEVEN REFRACTORY SERVICES PRIVA,Germany,BEROA TECHNOLOGY GROUP GMBH,KOLKATA,"Other professional, scientific and technical activities n.e.c.",5.10,0.08,
158,KARL STORZ ENDOSCOPY INDIA PRIVATE LIMIT,Germany,Karl Storz Gmbh & Co KG,NEW DELHI,"MANUFACTURE OF MEDICAL, SURGICAL, DENTAL OR VETERINARY FURNITURE SUCH ASOPERATING TABLES, EXAMINATION",262.00,4.10,
159,CMH TOOLS LIMITED,Germany,Maschinenbau Saacke Gmbh,HYDERABAD,"Manufacture of bearings, gears, gearing and driving elements",6.85,0.11,
160,HUF INDIA P LTD,Germany,HUF INTERNATIONAL GMBH,MUMBAI,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags, doors,",230.00,3.60,
161,BEST TECHNOLOGIES,Germany,C Con Holding GMBH,NEW DELHI,Other specialized design activities n.e.c.,2.62,0.04,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,PRIVATE LIMITED,,,,,,,
162,BEST TECHNOLOGIES PRIVATE LIMITED,Germany,C Con Holding GMBH,NEW DELHI,Other specialized design activities n.e.c.,0.35,0.01,
163,APOLLO FIEGE INTEGRATED LOGISTICS PVT LT,Germany,Fiege International Beteiligungs GMBH,NEW DELHI,Motorised road freight transport,43.90,0.69,
164,FOODEEBUDDEE SERVICES PRIVATE LIMTED,Germany,PRIYESH SOUNDARARAJAN,BANGALORE,Activities of food service contractors (e.g. for transportation companies),0.60,0.01,
165,ELEMENTION HEALTH & SPORT PVT L (ACTIVE,Germany,CORTENERO GMBH,NEW DELHI,Sports and recreation education,1.39,0.02,
166,ELEMENTION HEALTH & SPORT PVT L (ACTIVE,Germany,CORTENERO GMBH,NEW DELHI,Sports and recreation education,1.42,0.02,
167,PISCES ESERVICES PVT. LTD.,Germany,Jade 1343. GMBH & CO. SIEBTE VERWALTUNGS,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",149.34,2.34,
168,MOONSHINE ESERVICES PRIVATE LIMITED,Germany,Juwel 131.UG (haftungsbeschrankt) & Co.,NEW DELHI,"Wholesale of paper and other stationery items; books, magazines and newspapers",69.35,1.09,
169,HIPL INDIA PVT LTD,Germany,HOTSET HEIZPATRONEN UND ZUBEHOER GMBH,MUMBAI,Manufacture of other articles n.e.c.,19.04,0.30,
170,INTORQ INDIA PVT LTD,Germany,INTORQ GMBH & CO,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as
brakes, gearboxes, axles, road",20.00,0.31,
171,INTORQ INDIA PVT LTD,Germany,INTORQ GMBH & CO,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",0.50,0.01,
172,INTORQ INDIA PVT LTD,Germany,INTORQ BETEILIGUNGS GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",0.01,0.00,
173,ALBATROSS PROJECTS RF TECHNOLOGY INDIA P,Germany,ALBATROSS PROJECTS GMBH,AHMEDABAD,Other electrical electrical installation n.e.c.,6.30,0.10,
174,LEONI WIRING SYSTEMS (PUNE) PVT LTD,Germany,LEONI BORDNETZ-SYSTEME GMBH,MUMBAI,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel,",6.00,0.09,
175,LEONI WIRING SYSTEMS (PUNE) PVT LTD,Germany,LEONI BORDNETZ-SYSTEME GMBH,MUMBAI,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel,",200.00,3.13,
176,GEDIA INDIA AUTOMOTIVE COMPONENTS P LTD,Germany,GEDIA AUTOMOTIVE INTERNATIONAL GMBH,MUMBAI,Manufacture of trailers and semi-trailers for transport of goods or passengers,6.18,0.10,
177,VIEGA INDIA PRIVATE LIMITED,Germany,VIEGA EAST GMBH,AHMEDABAD,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc.",400.00,6.26,
178,SHARED SERVICES PRIVATE LIMITED (EAR: LU,Germany,Lufhtansa Technik AG,NEW DELHI,Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such,100.00,1.57,
179,SHARED SERVICES PRIVATE LIMITED (EAR: LU,Germany,Lufhtansa Technik AG,NEW DELHI,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major
assemblies such",28.00,0.44,
180,JADE E SERVICES PVT LTD,Germany,Jabong GmbH,MUMBAI,Other information service activities n.e.c.,343.28,5.38,
181,FEIN POWER TOOLS INDIA PRIVATE LIMITED,Germany,C & E Fein GmbH,CHENNAI,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",20.79,0.33,
182,FOODEEBUDDEE SERVICES PRIVATE LIMTED,Germany,PRIYESH SOUNDARARAJAN,BANGALORE,Activities of food service contractors (e.g. for transportation companies),0.49,0.01,
183,DMI DRAEXLMAIER MFG INDIA PVT LTD,Germany,LISA DRAEXLMAIER GMBH,MUMBAI,Manufacture of saddlery and harness,64.80,1.01,
184,AK AUTO ELECTRIC SYSTEMS (INDIA) PVT LTD,Germany,APPARATEBAU KIRCHHEIM TECK GMBH U ND CO,MUMBAI,"Manufacture of motor vehicle electrical equipment, such as generators, alternators, spark plugs, ignition",5.00,0.08,
185,RELIGARE INVESCO ASSET MANAGEMENT COMPAN,HongKong,INVESCO HONG KONG LIMITED,MUMBAI,Management of mutual funds,39.20,0.61,
186,THE RESEARCH TREE INDIA PVT LTD,HongKong,SIRIUS PARTNERS GROUP LIMITED,MUMBAI,Temporary employment agency activities,1.53,0.02,
187,VEE RUBBER INDIA PRIVATE LIMITED,HongKong,PERMAC HOLDINGS LIMITED,AHMEDABAD,"Manufacture of rubber tyres and tubes for motor vehicles, motorcycles, scooters, three- wheelers, tractors",1.00,0.02,
188,WAVE GEAR INTERNATIONAL PVT LTD,HongKong,Wave Productions International Limited,MUMBAI,"Wholesale of watches, clocks and optical goods",0.10,0.00,
189,JILLMILL NON-WOVEN PRIVATE LIMITED,HongKong,ANIL M PATWARI,AHMEDABAD,"Manufacture of glass fibre (including glass- wool) and yarn of glass fibre nonwoven glass fabrics, mats,",30.00,0.47,
190,JILLMILL NON-WOVEN PRIVATE LIMITED,HongKong,ARADHANA A. PATWARI,AHMEDABAD,"Manufacture of glass fibre (including glass- wool) and yarn of glass fibre nonwoven glass fabrics, mats,",30.00,0.47,
191,UJAS DIAMONDS PVT LTD,HongKong,Kimberley Diamonds Limited,MUMBAI,Other non-specialised wholesale trade n.e.c.,1.31,0.02,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
192,VALUE SHOWCASE GLOBAL SOURCING INDIA PRI,HongKong,Orchard Brand Global Sourcing Limited,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",0.00,0.00,
193,CREDI HEALTH PRIVATE LIMITED,HongKong,Hausela Holdings Pte Ltd,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),1.94,0.03,
194,TRI-WALL PAK PVT LTD.,HongKong,TRI-WALL EUROPE HOLDING LIMITED,BANGALORE,Manufacture of corrugated paper board containers,10.77,0.17,
195,TRI-WALL PAK PVT LTD.,HongKong,TRI-WALL EUROPE HOLDING LIMITED,BANGALORE,Manufacture of corrugated paper board containers,28.10,0.44,
196,TRI-WALL PAK PVT LTD.,HongKong,TRI-WALL EUROPE HOLDING LIMITED,BANGALORE,Manufacture of corrugated paper board containers,18.56,0.29,
197,ESK INDIA COMMERCE AND TRADE PVT LTD,HongKong,Sonepar Asia Pacific Limited,NEW DELHI,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",72.00,1.13,
198,EOC POLYMER INDIA PVT LTD,HongKong,EOC P&E Invest Asia Ltd.,NEW DELHI,Manufacture of synthetic rubber in primary forms,62.02,0.97,
199,UNCANNY VISION SOLUTIONS (P) LTD.,HongKong,DEVADAS PARAKKAL,KOCHI,Software installation,1.51,0.02,
200,UJAS DIAMONDS PVT LTD,HongKong,Kimberley Diamonds Limited,MUMBAI,Other non-specialised wholesale trade n.e.c.,94.05,1.47,
201,CITIXSYS TECH SOLUTIONS PRIVATE LTD,Ireland,CitiXys Limited,NEW DELHI,Providing software support and maintenance to the clients,22.23,0.35,
202,SEGOMA IMAGING TECHNOLOGIES INDIA PVT LT,Israel,Segoma Limited.,MUMBAI,Other photographic activities,4.33,0.07,
203,GOA COFFEE COMPANY PVT LTD,Israel,SHARON SALMAN,PANAJI,Tea/coffee shops,0.09,0.00,
204,GOA COFFEE COMPANY PVT LTD,Israel,SHARON SALMAN,PANAJI,Tea/coffee shops,0.63,0.01,
205,GOA COFFEE COMPANY PVT LTD,Israel,SHARON SALMAN,PANAJI,Tea/coffee shops,0.17,0.00,
206,GOA COFFEE COMPANY PVT LTD,Israel,YANIV SHIMSHON,PANAJI,Tea/coffee shops,0.45,0.01,
207,GOA COFFEE COMPANY PVT LTD,Israel,YANIV SHIMSHON,PANAJI,Tea/coffee shops,0.45,0.01,
208,ALTITUDE SOFTWARE ASIA PACIFIC PRIVATE L,Israel,Altitude Software Israel Limited,NEW DELHI,Wholesale of software,0.11,0.00,
209,RATEK PHEON FRICTION TECHNOLOGIES PRIVAT,Israel,Ratek klopman investments Ltd,NEW DELHI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",5.10,0.08,
210,AIO SOLUTIONS IMPLEMENTATION INDIA PRIVA,Israel,AIO AD Systems Ltd,NEW DELHI,Activities of other wireless telecommunications activities,1.24,0.02,
211,SHUBHRAM HOSPITAL SOLUTIONS PRIVATE LIMI,Italy,Servizi Italia S.P.A,NEW DELHI,Other human health activities n.e.c. (including independent ambulance activities),9.66,0.15,
212,VENEZIA FOOD AND BEVERAGES PVT LTD,Italy,Albert Canepari,MUMBAI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw
material, live",1.99,0.03,
213,KOBLENZ UTTURKAR FITTINGS PVT LTD,Italy,KOBLENZ S.P.A.,MUMBAI,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles",2.55,0.04,
214,IMA-PG INDIA PVT LTD,Italy,IMA S P A,MUMBAI,Manufacture of other special-purpose machinery n.e.c.,120.00,1.88,
215,ROHAN BRC GAS EQUIPMENT PRIVATE LIMITED,Italy,M.T.M.SRL,AHMEDABAD,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",0.49,0.01,
216,COLOROBBIA CHEMICALS INDIA PRIVATE LIMIT,Italy,COLOROBBIA HOLDING SPA,AHMEDABAD,"Manufacture of prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes",0.50,0.01,
217,DAYCO ENGINE SYSTEMS INDIA PVT LTD (EAR:,Italy,Dayco Europe SRL,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",64.00,1.00,
218,ANOFOL FAR EAST ANODIZING PRIVATE LIMITE,Italy,ANOFOL SRL SOCIO UNICO,AHMEDABAD,Manufacture of other fabricated metal products n.e.c.,3.41,0.05,
219,ANOFOL FAR EAST ANODIZING PRIVATE LIMITE,Italy,ANOFOL SRL SOCIO UNICO,AHMEDABAD,Manufacture of other fabricated metal products n.e.c.,81.98,1.28,
220,ANOFOL FAR EAST ANODIZING PRIVATE LIMITE,Italy,ANOFOL SRL SOCIO UNICO,AHMEDABAD,Manufacture of other fabricated metal products n.e.c.,8.41,0.13,
221,LAVIOSA TRIMEX INDUSTRIES PRIVATE LIMITE,Italy,LAVIOSA CHIMICA MINERARIA SPA,AHMEDABAD,"MINING OF CLAYS (KAOLIN, BALL CLAY, WOLLASTONITE, BENTONITE, FULLERS EARTH, FIRECLAY ETC. )",2.15,0.03,
222,"LAVIOSA TRIMEX INDUSTRIES PRIVATE
LIMITE",Italy,LAVIOSA CHIMICA MINERARIA SPA,AHMEDABAD,"MINING OF CLAYS (KAOLIN, BALL CLAY, WOLLASTONITE, BENTONITE, FULLERS
EARTH, FIRECLAY ETC. )",10.00,0.16,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
223,,,,,,(In Rs million),(In US$ million),
,BNT MARINE CRAFTS (INDIA) PVT LTD,Italy,Boccardi Moreno,CHENNAI,Building of fishing boats and fish-processing factory vessels,0.78,0.01,
224,"INNOVATIVE AND
TECHNOLOGICAL LEARNING SE",Italy,Univercita Commerciale Luigi Bocconi,MUMBAI,Higher education in management courses leading to a degree or equivalent,65.82,1.03,
225,SMALIJA SOFTWARE INDIA PVT LTD,Italy,CAZZANIGA FRANCO & CITTERIO MARIELLA,KOCHI,Providing software support and maintenance to the clients,0.04,0.00,
226,LAVIOSA TRIMEX INDUSTRIES PRIVATE LIMITE,Italy,LAVIOSA CHIMICA MINERARIA SPA,AHMEDABAD,"MINING OF CLAYS (KAOLIN, BALL CLAY, WOLLASTONITE, BENTONITE, FULLERS EARTH, FIRECLAY ETC. )",9.25,0.14,
227,LAVIOSA TRIMEX INDUSTRIES PRIVATE LIMITE,Italy,LAVIOSA CHIMICA MINERARIA SPA,AHMEDABAD,"MINING OF CLAYS (KAOLIN, BALL CLAY, WOLLASTONITE, BENTONITE, FULLERS EARTH, FIRECLAY ETC. )",20.90,0.33,
228,LAVIOSA TRIMEX INDUSTRIES PRIVATE LIMITE,Italy,LAVIOSA CHIMICA MINERARIA SPA,AHMEDABAD,"MINING OF CLAYS (KAOLIN, BALL CLAY, WOLLASTONITE, BENTONITE, FULLERS EARTH, FIRECLAY ETC. )",19.85,0.31,
229,ELETTROMIL INDIA PRIVATE LIMITED,Italy,ELETTROMIL SRL,BANGALORE,"Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts,",25.00,0.39,
230,ELETTROMIL INDIA PRIVATE LIMITED,Italy,MIRCO MILIC,BANGALORE,"Manufacture of electric power distribution transformers, arc-welding transformers,
fluorescent ballasts,",0.00,0.00,
231,EUROBEARINGS INDIA PRIVATE LIMITED,Italy,Eurobearings S.R.L,NEW DELHI,"Manufacture of bearings, gears, gearing and driving elements",19.66,0.31,
232,GOGROUND BEANS & SPICES PVT. LTD.,Italy,LUCA BELTRAMI,KOCHI,Manufacture of cocoa products,0.10,0.00,
233,SPICE LUBE INDIA PVT LTD,Italy,WALTER DIVISI,HYDERABAD,"Production of liquid and gaseous fuels, illuminating oils, lubricating oils or greases or other products",43.20,0.68,
234,OFI (INDIA) PRIVATE LIMITED,Italy,OFI OFFICINA FARMACEUTICA ITALIANA SPA,NEW DELHI,"Wholesale of toiletry, perfumery and cosmetics",7.65,0.12,
235,WADHAWAN SPORTS PVT LTD,Italy,ACF FLORENTINA S.P.A.,MUMBAI,Activities of sports clubs,1.64,0.03,
236,FJM CYLINDERS PVT LTD,Italy,Faber Industries SPA,NEW DELHI,Manufacture of fluid power equipment,50.00,0.78,
237,FJM CYLINDERS PVT LTD,Italy,"Faber Industries, SPA",NEW DELHI,Manufacture of fluid power equipment,37.50,0.59,
238,BNT MARINE CRAFTS (INDIA) PVT LTD,Italy,Tonarelli Loris,CHENNAI,Building of fishing boats and fish-processing factory vessels,0.78,0.01,
239,SUNINO INDIA P LTD,Italy,PAOLO SUNINO,MUMBAI,Manufacture of other plastics products n.e.c.,0.39,0.01,
240,MARVELOUS VIMERCATI FOUNDRY PVT LTD,Italy,Officine Vimercati S.R.L,MUMBAI,"Manufacture of tubes, pipes and hollow profiles and of tube or pipe fittings of cast- iron/cast-steel",1.14,0.02,
241,MGM ITALIAN MARBLE AND COMPANY INDIA PVT,Italy,Guarda marbles & Stones SRL,MUMBAI,Quarrying of marble,0.49,0.01,
242,FCA INDIA AUTOMOBILES PVT LTD (FIAT GROU,Italy,FCA Italy SPA,MUMBAI,"Wholesale and retail sale of new vehicles (passenger motor vehicles, ambulances, minibuses, jeeps, trucks,",550.00,8.61,
243,LUCCHINI (I) PRIVATE LIMITED,Italy,Lucchini RS S.p.A,NEW DELHI,"Manufacture of specialized parts of railway or tramway locomotives or of rolling stock (bogies, axles",3.50,0.05,
244,PARMA CLIMA TECHNOLOGIES INDIA PRIVATE L,Italy,GABRIELE FARRI,BANGALORE,"Other plumbing, heat and air conditioning activities n.e.c.",0.01,0.00,
245,PARMA CLIMA TECHNOLOGIES INDIA PRIVATE L,Italy,GABRIELE FARRI,BANGALORE,"Other plumbing, heat and air conditioning activities n.e.c.",0.42,0.01,
246,FERRERO INDIA PVT. LTD.,Italy,FERRERO S P A,BANGALORE,Manufacture of cocoa products,280.94,4.40,
247,FERRERO INDIA PVT. LTD.,Italy,Ferrero S.P.A,BANGALORE,Manufacture of cocoa products,959.74,15.03,
248,FERRERO INDIA PVT. LTD.,Italy,Simest S.P.A,BANGALORE,Manufacture of cocoa products,165.57,2.59,
249,SALINI INDIA PVT LTD,Italy,Compagania Gestione Machhinari,NEW DELHI,Other civil engineering projects n.e.c.,0.43,0.01,
250,SALINI INDIA PVT LTD,Italy,Salini Impregilo S.P.A,NEW DELHI,Other civil engineering projects n.e.c.,8.08,0.13,
251,CORPORATE CATALYST INDIA PRIVATE LIMITED,Japan,SCS Global Consulting K.K.,NEW DELHI,Management consultancy activities,6.30,0.10,
252,NITTAN INDIA TECH PRIVATE LIMITED,Japan,Nittan Valve Co Ltd,HYDERABAD,"Manufacture of diverse parts and accessories for motor vehecles sucs as
brakes, gearboxes, axles, road",250.00,3.91,
253,KAWASAKI HEAVY INDUSTRIES (INDIA) PRIVAT,Japan,Kawasaki Heavy Industries Ltd,NEW DELHI,Architectural and engineering activities and related technical consultancy,16.83,0.26,
254,ANUPAM-MHI INDUSTRIES LTD,Japan,MITSUBISHI HEAVY INDUSTRIES LTD,AHMEDABAD,"Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust",300.00,4.70,
255,SANKEI PRAGATI INDIA PVT.LTD,Japan,S G. Finance Co. Ltd.,NEW DELHI,Manufacture of other fabricated metal products n.e.c.,189.00,2.96,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
256,SANKEI PRAGATI INDIA PVT.LTD,Japan,SG Finance Co. Ltd.,NEW DELHI,Manufacture of other fabricated metal products n.e.c.,91.00,1.42,
257,JAMSHEDPUR CONTINUOUS ANNEALING & PROCES,Japan,NIPPON STEEL CORPORATION,KOLKATA,Manufacture of hot-rolled and cold-rolled products of steel,"2,180.34",34.14,
258,OZTERN TECHNOLOGY PVT. LTD.,Japan,KENICHIRO AKIYAMA,KOCHI,Other information technology and computer service activities n.e.c,0.53,0.01,
259,ARVIND GOODHILL SUIT MANUFACTURING PVT L,Japan,GOODHILL CORPORATION,AHMEDABAD,Manufacture of all types of textile garments and clothing accessories,58.00,0.91,
260,ARVIND GOODHILL SUIT MANUFACTURING PVT L,Japan,F-ONE LIMITED,AHMEDABAD,Manufacture of all types of textile garments and clothing accessories,40.00,0.63,
261,OZTERN TECHNOLOGY PVT. LTD.,Japan,KENICHIRO AKIYAMA,KOCHI,Other information technology and computer service activities n.e.c,0.65,0.01,
262,SOLIZE INDIA PRIVATE LIMITED,Japan,Solize Corporation,NEW DELHI,Other information technology and computer service activities n.e.c,13.00,0.20,
263,KUURAKU INDIA PVT. LTD.,Japan,Kuuraku Group Co Ltd,NEW DELHI,"Cafeterias, fast-food restaurants and other food preparation in market stalls",1.76,0.03,
264,KUURAKU INDIA PVT. LTD.,Japan,Kuuraku Group Co Ltd,NEW DELHI,"Cafeterias, fast-food restaurants and other food preparation in market stalls",4.71,0.07,
265,YMC TECHNOLOGIES PVT LTD,Japan,YMC CO LTD,MUMBAI,Research and experimental development on natural sciences and engineering,1.00,0.02,
266,CHUKAN BUTSU EXIM (INDIA) PRIVATE LIMITE,Japan,CHUKAN BUTSU LIMITED,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,1.00,0.02,
267,NJS ENGINEERS INDIA PVT LTD,Japan,NJS CONSULTANTS CO.LTD,MUMBAI,"Other professional, scientific and technical activities n.e.c.",30.00,0.47,
268,AUTOMOTIVE COMPONENTS TECHNOLOGY INDIA P,Japan,MITSUI KINZOKU ACT CORPORATION,CHENNAI,Manufacture of parts and accessories of three wheelers and motorcycles including side cars,29.90,0.47,
269,SP LIVE INDIA PVT LTD,Japan,SP Ring Tokyo Co. Ltd.,NEW DELHI,Management consultancy activities,2.27,0.04,
270,SP LIVE INDIA PVT LTD,Japan,S.People Company Ltd.,NEW DELHI,Management consultancy activities,0.50,0.01,
271,MITSUBISHI ELECTRIC INDIA PRIVATE LIMITE,Japan,Mitsubhishi Electric Corporation,NEW DELHI,"Wholesale of other households goods, n.e.c. [Includes wholesale of household equipment and appliances,",89.88,1.41,
272,TOYO INK INDIA PVT LTD,Japan,Toyo Ink SC Holdings Co. Ltd.,NEW DELHI,Manufacture of printing ink,22.06,0.35,
273,ADA NEWS IN SHORTS PRIVATE LIMITED,Japan,Rebright Partners I Investment Partnersh,NEW DELHI,Publishing of operating business and other applications,1.81,0.03,
274,ADA NEWS IN SHORTS PRIVATE LIMITED,Japan,Rebright Partners I Investment Partnersh,NEW DELHI,Publishing of operating business and other applications,16.71,0.26,
275,MINDA TG RUBBER PRIVATE LIMITED,Japan,Toyoda Gosei Co. Ltd.,NEW DELHI,"Manufacture of rubber plates, sheets, strips,
rods, tubes, pipes, hoses and profile -shapes etc.",66.00,1.03,
276,FINOLEX J POWER SYSTEMS LTD,Japan,J-Power systems Corporation,MUMBAI,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel,",51.00,0.80,
277,MINDA TG RUBBER PRIVATE LIMITED,Japan,Toyota Tsusho Corporation,NEW DELHI,"Manufacture of rubber plates, sheets, strips, rods, tubes, pipes, hoses and profile -shapes etc.",7.50,0.12,
278,DIGI SYSTEM GURGAON PVT LTD,Japan,Teraoka Seiko Co. Ltd,NEW DELHI,"Wholesale of electrical machinery, equipment and supplies, n.e.c.",2.19,0.03,
279,CONCEPTUAL LIFE CONSULTING PRIVATE LIMIT,Japan,NAKATSUGU GOTOK,BANGALORE,Other business support service activities n.e.c.,0.05,0.00,
280,SHARP BUSINESS SYSTEMS INDIA LIMITED,Japan,Sharp Corporation,NEW DELHI,Wholesale of other electronic equipments and parts thereof,316.00,4.95,
281,SHARP BUSINESS SYSTEMS INDIA LIMITED,Japan,Sharp Corporation,NEW DELHI,Wholesale of other electronic equipments and parts thereof,364.00,5.70,
282,HITACHI ZOSEN INDIA PVT LTD,Japan,Hitachi Zosen Corporation,NEW DELHI,Architectural and engineering activities and related technical consultancy,30.00,0.47,
283,NIPPO INDIA PRIVATE LIMITED,Japan,Nippo Corporation,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",9.99,0.16,
