Table No.18 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING MARCH, 2015",,,,,,,,
111,CAE INDIA PVT LTD,Mauritius,FLIGHT TRAINING DEVICE MAURITIUS LTD,REGION NOT INDICATED,SIMULATION,69.88,1.12,
112,FIMI IRRIGATION INDIA PVT LTD,Israel,RIVULIS IRRIGATION LTD,REGION NOT INDICATED,MANUFACTUR,0.10,0.00,
113,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,8.43,0.13,
114,KOLET RESORT CLUB PVT LTD,UAE,COUNTRY VACATIONS INTERNATIONAL LTD,REGION NOT INDICATED,HOTELS AND,20.09,0.32,
115,TRIVECTOR ORIGIO SCIENTIFIC PVT LTD,Denmark,ORIGIO A/S,REGION NOT INDICATED,"BUYING, IM",166.65,2.67,
116,CONTINENTAL BPO SERVICES PVT LTD,U.S.A,3PILLAR HOLDINGS LLC,REGION NOT INDICATED,SOFTWARE D,25.05,0.40,
117,TRIVECTOR ORIGIO SCIENTIFIC PVT LTD,United Kingdom,ORIGIO LTD,"REGION
NOT INDICATED","BUYING, IM",0.08,0.00,
118,BILL FORGE PVT LTD,Mauritius,AINOS HOLDINGS LTD,REGION NOT INDICATED,MANUFACTUR,586.29,9.39,
119,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,3.82,0.06,
120,ADCOCK INGRAM LTD,Indonesia,PT MEIJI INDONESIAN PHARMACEUTICAL,REGION NOT INDICATED,MANUFACTUR,0.00,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,INDUS,,,,,
121,TPG SOFTWARE PVT LTD,U.S.A,3PILLAR HOLDINGS LLC,REGION NOT INDICATED,SOFTWARE D,27.84,0.45,
122,FUTURE FINANCIAL SERVICES LTD,Mauritius,INDIUM IV MAURITIUS HOLDINGS LTD,REGION NOT INDICATED,NBFC PROVI,17.25,0.28,
123,"USHDEV INTERNATIONAL
LTD",Singapore,UD TRADING GROUP HOLDING PTE LTD,"REGION NOT
INDICATED",TRADE IN F,11.31,0.18,
124,BILL FORGE PVT LTD,Mauritius,AINOS HOLDINGS LTD,REGION NOT INDICATED,MANUFACTUR,46.61,0.75,
125,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,7.83,0.13,
126,TPG SOFTWARE PVT LTD,U.S.A,3PILLAR HOLDINGS LLC,REGION NOT INDICATED,SOFTWARE D,11.37,0.18,
127,CORE WELLNESS LTD,UAE,MITASU TRADING AND CONSULTANCY CO LTD,REGION NOT INDICATED,WELLNESS A,2.49,0.04,
128,BILL FORGE PVT LTD,Mauritius,AINOS HOLDINGS LTD,REGION NOT INDICATED,MANUFACTUR,208.53,3.34,
129,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,2.58,0.04,
