Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
104,ADANI PORTS AND SPECIAL ECONOMIC ZONE LT,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Cargo handling incidental to water transport,195.77,3.01,
105,ADANI POWER LTD,UAE,"EMERGING MARKET INVESTMENT DMCC -
UNITED","REGION NOT
INDICATED",Electric power generation by coal based thermal power plants,75.50,1.16,
106,M.R.L Posnet Private Ltd.,Singapore,Worldline IT and Payment Services Singap,REGION NOT INDICATED,Activities auxiliary to financial service activities n.e.c.,98.84,1.52,
107,"MEDISERVE
SOLUTIONS PRIVATE LIMITED",U.S.A,BRIGHTON HEALTH SERVICES 1 LLC,"REGION
NOT INDICATED",Providing data entry services,11.43,0.18,
108,3D Technopack Private Limited,Switzerland,"Hoffmann Neopac Ag, Switzerland",REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",168.90,2.60,
109,"ADANI PORTS AND
SPECIAL ECONOMIC ZONE LT",UAE,"EMERGING MARKET
INVESTMENT DMCC - UNITED","REGION
NOT INDICATED",Cargo handling incidental to water transport,284.54,4.37,
110,Weiss Rohling India Private Limited,Austria,Roehling Co Internationale Beteiligungs,REGION NOT INDICATED,Other business support service activities n.e.c.,0.75,0.01,
111,Tikona Infinet Private Limited,Mauritius,"Indivision India Partners, Mauritius",REGION NOT INDICATED,Activities of Internet access by the operator of the wireless infrastructure,1.19,0.02,
112,NEULAND HEALTH SCIENCES PVT LTD,Mauritius,LTR FOCUS FUND - MAURITIUS,REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,21.96,0.34,
113,3D Technopack Private Limited,Switzerland,"Hoffmann Neopac Ag, Switzerland",REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)",1.03,0.02,
114,Tikona Infinet Private Limited,Mauritius,"Oak India Investments, Mauritius",REGION NOT INDICATED,Activities of Internet access by the operator of the wireless infrastructure,2.10,0.03,
115,ESSAR POWER LTD,Mauritius,ESSAR POWER HOLDINGS LTD - MAURITIUS,REGION NOT INDICATED,"Electric power generation by non-coal based thermal (e.g. diesel, gas )","3,691.89",56.73,
116,3D Technopack Private Limited,Switzerland,"Hoffmann Neopac Ag, Switzerland",REGION NOT INDICATED,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys,
bottles etc.)",1.89,0.03,
